S.No,Year,Agriculture Land,Forest Land,Water Bodies,Industries,Protected & National Parks ,Infrastructures,Waste Land
1,1998,5864,330,921,4215,415,552,435
2,1999,5264,332,745,4153,484,502,426
3,2000,5114,330,425,4441,521,468,412
4,2001,4175,298,541,4862,226,496,521
5,2002,3789,412,632,4335,641,499,648
6,2003,4126,485,551,4125,654,499,621
7,2004,5148,216,645,4752,664,425,598
8,2005,5394,226,544,4632,645,458,523
9,2006,4796,425,526,4821,641,499,426
10,2007,4218,451,687,4215,542,452,333
11,2008,4786,425,612,4365,664,412,664
12,2009,5486,334,512,4963,523,444,521
13,2010,5869,456,524,4158,426,456,536
14,2011,5269,423,674,4112,333,423,654
15,2012,4569,423,741,4235,599,485,445
16,2013,5242,542,615,4268,641,475,578
17,2014,5426,412,542,4756,524,443,456
18,2015,5134,521,456,4856,684,412,536
19,2016,53847,485,547,4751,524,439,521
20,2017,5144,441,612,4621,522,456,521
21,2018,5252,498,454,4236,513,499,628
22,2019,5762,344,455,4453,456,501,632
23,2020,5463,268,656,4215,598,522,696
24,2021,5236,333,657,4365,486,536,695
25,2022,5264,548,658,4852,516,510,652
