S.No,Year,Agriculture Land,Forest Land,Water Bodies,Industries,Protected & National Parks ,Infrastructures,Waste Land
1,1998,4594,415,330,3301,552,6984,5864
2,1999,4754,484,332,3321,502,6972,5264
3,2000,5114,521,330,3301,468,6982,5114
4,2001,4175,226,298,2985,496,6996,4175
5,2002,3789,641,412,4125,499,6996,3789
6,2003,6416,654,485,4856,499,6999,4126
7,2004,5148,664,216,5216,425,7000,5148
8,2005,5459,645,226,2264,458,7002,5394
9,2006,6896,641,425,8425,499,7003,4796
10,2007,5215,542,451,7851,452,7004,4218
11,2008,4756,664,425,7425,412,5484,4786
12,2009,5491,523,334,7334,444,6072,5486
13,2010,5839,426,456,7456,456,4982,5869
14,2011,5298,333,423,7123,423,7266,5269
15,2012,5694,599,423,4235,485,7296,4569
16,2013,6541,641,542,5426,475,8999,5242
17,2014,5426,524,412,4125,443,7900,5426
18,2015,5213,684,521,5216,412,5905,5134
19,2016,53684,524,485,6485,439,6903,53847
20,2017,6351,522,441,6241,456,5504,5144
21,2018,5214,513,498,5998,499,7452,5252
22,2019,5962,456,344,5234,501,4568,5762
23,2020,5634,598,268,4268,522,8593,5463
24,2021,5364,486,333,3332,536,4758,5236
25,2022,5216,516,548,6648,510,9654,5264
