S.No,Year,Agriculture Land,Forest Land,Water Bodies,Industries,Protected & National Parks ,Infrastructures,Waste Land
1,1998,2241,3321,652,452,335,5241,452
2,1999,2254,3456,633,486,321,6842,486
3,2000,2145,3654,624,421,300,1124,562
4,2001,2006,3124,686,436,300,3215,521
5,2002,2458,3785,621,452,365,6458,536
6,2003,2452,3458,666,412,324,9641,596
7,2004,2136,3621,698,411,321,9354,550
8,2005,2126,3287,642,400,299,6648,574
9,2006,2110,3961,624,462,264,3301,542
10,2007,2112,3124,612,483,285,3321,516
11,2008,2169,3648,625,520,241,3301,596
12,2009,2156,3569,655,521,265,2985,593
13,2010,2781,3785,685,555,213,4125,512
14,2011,2412,3256,652,569,200,4856,532
15,2012,2541,3475,600,563,186,5216,524
16,2013,2344,3325,659,523,125,2264,526
17,2014,3324,3962,655,547,142,8425,571
18,2015,3331,3214,621,596,186,7851,526
19,2016,3058,3256,600,562,188,7425,589
20,2017,3241,3303,584,523,189,7334,512
21,2018,4510,3301,574,512,196,7456,573
22,2019,2213,3000,521,546,210,5998,569
23,2020,2345,2964,621,521,222,5234,542
24,2021,2467,3452,600,553,253,4268,563
25,2022,2489,3685,633,567,248,3332,586
