S.No,Year,Agriculture Land,Forest Land,Water Bodies,Industries,Protected & National Parks ,Infrastructures,Waste Land
1,1998,335,330,921,521,664,5241,641
2,1999,321,332,745,555,523,6842,542
3,2000,300,330,425,569,426,1124,664
4,2001,300,298,541,563,333,3215,523
5,2002,365,412,632,523,599,6458,426
6,2003,324,485,551,547,641,9641,333
7,2004,321,216,645,596,524,9354,599
8,2005,299,226,544,562,684,6648,641
9,2006,264,425,526,523,524,3301,524
10,2007,285,451,687,512,522,3321,684
11,2008,241,186,612,546,513,3301,524
12,2009,265,125,512,521,334,2985,522
13,2010,213,142,524,553,456,4125,513
14,2011,200,186,674,567,423,4856,456
15,2012,186,188,741,335,423,5216,598
16,2013,125,189,615,321,542,2264,486
17,2014,142,196,542,300,412,8425,516
18,2015,186,210,456,300,521,7851,423
19,2016,188,222,547,365,485,7425,485
20,2017,189,253,612,324,441,7334,475
21,2018,196,248,454,321,498,7456,443
22,2019,210,241,455,299,344,5998,412
23,2020,222,265,656,264,268,5234,439
24,2021,253,213,657,285,333,4268,456
25,2022,248,200,658,241,548,3332,499
