S.No,Year,Agriculture Land,Forest Land,Water Bodies,Industries,Protected & National Parks ,Infrastructures,Waste Land
1,1998,5869,334,652,3301,335,5241,435
2,1999,5269,456,633,3321,321,6842,426
3,2000,4569,423,624,3301,300,1124,412
4,2001,5242,423,686,2985,300,3215,521
5,2002,5426,542,621,4125,365,6458,648
6,2003,5134,412,666,4856,324,9641,621
7,2004,53847,521,698,5216,321,9354,598
8,2005,5144,485,642,2264,299,6648,523
9,2006,5252,441,624,8425,264,3301,426
10,2007,5762,498,612,7851,285,3321,333
11,2008,5463,344,625,7425,241,3301,664
12,2009,5236,268,655,7334,265,2985,521
13,2010,5264,333,685,7456,213,4125,536
14,2011,5864,548,652,7123,200,4856,654
15,2012,5264,330,600,4235,186,5216,445
16,2013,5114,332,659,5426,125,2264,578
17,2014,4175,330,655,4125,142,8425,456
18,2015,3789,298,621,5216,186,7851,536
19,2016,4126,412,600,6485,188,7425,521
20,2017,5148,485,584,6241,189,7334,521
21,2018,5394,216,574,5998,196,7456,628
22,2019,4796,226,521,5234,210,5998,632
23,2020,4218,425,621,4268,222,5234,696
24,2021,4786,451,600,3332,253,4268,695
25,2022,5486,425,633,6648,248,3332,652
