S.No,Year,Agriculture Land,Forest Land,Water Bodies,Industries,Protected & National Parks ,Infrastructures,Waste Land
1,1998,521,330,664,921,335,5241,641
2,1999,555,332,523,745,321,6842,542
3,2000,569,330,426,425,300,1124,664
4,2001,563,298,333,541,300,3215,523
5,2002,523,412,599,632,365,6458,426
6,2003,547,485,641,551,324,9641,333
7,2004,596,216,524,645,321,9354,599
8,2005,562,226,684,544,299,6648,641
9,2006,523,425,524,526,264,3301,524
10,2007,512,451,522,687,285,3321,684
11,2008,546,186,513,612,241,3301,524
12,2009,521,125,334,512,265,2985,522
13,2010,553,142,456,524,213,4125,513
14,2011,567,186,423,674,200,4856,456
15,2012,335,188,423,741,186,5216,598
16,2013,321,189,542,615,125,2264,486
17,2014,300,196,412,542,142,8425,516
18,2015,300,210,521,456,186,7851,423
19,2016,365,222,485,547,188,7425,485
20,2017,324,253,441,612,189,7334,475
21,2018,321,248,498,454,196,7456,443
22,2019,299,241,344,455,210,5998,412
23,2020,264,265,268,656,222,5234,439
24,2021,285,213,333,657,253,4268,456
25,2022,241,200,548,658,248,3332,499
