S.No,Year,Agriculture Land,Forest Land,Water Bodies,Industries,Protected & National Parks ,Infrastructures,Waste Land
1,1998,4215,921,330,864,435,415,552
2,1999,4153,745,332,264,426,484,502
3,2000,4441,425,330,114,412,521,468
4,2001,4862,541,298,175,521,226,496
5,2002,4335,632,412,378,648,641,499
6,2003,4125,551,485,126,621,654,499
7,2004,4752,645,216,514,598,664,425
8,2005,4632,544,226,539,523,645,458
9,2006,4821,526,425,479,426,641,499
10,2007,4215,687,451,421,333,542,452
11,2008,4365,612,425,478,664,664,412
12,2009,4963,512,334,548,521,523,444
13,2010,4158,524,456,586,536,426,456
14,2011,4112,674,423,526,654,333,423
15,2012,4235,741,423,456,445,599,485
16,2013,4268,615,542,524,578,641,475
17,2014,4756,542,412,542,456,524,443
18,2015,4856,456,521,513,536,684,412
19,2016,4751,547,485,5384,521,524,439
20,2017,4621,612,441,514,521,522,456
21,2018,4236,454,498,525,628,513,499
22,2019,4453,455,344,576,632,456,501
23,2020,4215,656,268,546,696,598,522
24,2021,4365,657,333,523,695,486,536
25,2022,4852,658,548,526,652,516,510
