S.No,Year,Agriculture Land,Forest Land,Water Bodies,Industries,Protected & National Parks ,Infrastructures,Waste Land
1,1998,3785,2781,335,652,532,415,452
2,1999,3256,2412,321,633,524,484,486
3,2000,3475,2541,300,624,526,521,421
4,2001,3325,2344,300,686,571,226,436
5,2002,3962,3324,365,621,526,641,452
6,2003,3214,3331,324,666,589,654,412
7,2004,3256,3058,321,698,512,664,411
8,2005,3303,3241,299,642,573,645,400
9,2006,3301,4510,264,624,569,641,462
10,2007,3000,2213,285,612,542,542,483
11,2008,2964,2345,241,625,452,664,555
12,2009,3452,2467,265,655,486,523,569
13,2010,3685,2489,213,685,562,426,563
14,2011,2241,3456,200,652,521,333,523
15,2012,2254,3654,155,600,536,599,547
16,2013,2145,3124,221,659,596,641,596
17,2014,2006,3785,200,486,550,524,562
18,2015,2458,3458,284,188,574,684,523
19,2016,2452,3621,274,589,542,524,512
20,2017,2136,3287,221,196,516,522,546
21,2018,2126,3961,221,210,596,513,521
22,2019,2110,3124,200,222,593,456,553
23,2020,2112,3648,233,253,512,598,567
24,2021,2169,3569,248,248,563,486,520
25,2022,2156,3569,296,632,586,516,521
