S.No,Year,Agriculture Land,Forest Land,Water Bodies,Industries,Protected & National Parks ,Infrastructures,Waste Land
1,1998,79002,5214,4235,3301,3445,5241,4594
2,1999,59052,4265,5426,3321,3453,6842,4752
3,2000,69034,6215,4125,3301,3443,1124,5114
4,2001,55042,74265,5216,2985,3383,3215,4174
5,2002,74526,4265,6485,4125,3364,6458,3785
6,2003,45683,5412,6241,4856,3391,9641,4125
7,2004,85937,6214,5998,5216,3364,9354,5142
8,2005,47586,5214,5234,2264,3413,6648,4125
9,2006,96542,6214,4268,8425,3356,3301,4789
10,2007,69843,4458,3332,9215,3351,3321,4521
11,2008,69720,4456,6648,7426,3453,3301,4785
12,2009,69821,7423,8521,8424,3351,2985,5486
13,2010,69968,6648,5368,5521,3391,4125,5863
14,2011,69960,6485,9354,4526,3413,4856,5269
15,2012,69994,5247,7845,4235,3383,5216,5469
16,2013,70002,7741,5789,5426,3356,2264,5412
17,2014,70020,6412,4563,4125,3364,8425,5427
18,2015,70034,5015,2536,5216,3443,7851,5214
19,2016,70042,5542,8264,5485,3445,7425,56847
20,2017,54843,5356,5214,6241,3356,7334,5414
21,2018,60720,5478,8426,5998,3445,7456,5452
22,2019,49821,5412,45268,5234,3453,5998,5762
23,2020,72668,5447,44678,4268,3443,5234,5463
24,2021,72960,5485,61245,3332,3383,4268,5436
25,2022,89994,5321,51247,5321,3364,3332,5216
