S.No,Year,Agriculture Land,Forest Land,Water Bodies,Industries,Protected & National Parks ,Infrastructures,Waste Land
1,1998,459,330,330,552,415,5241,586
2,1999,475,332,332,502,484,6842,526
3,2000,511,330,330,468,521,1124,511
4,2001,417,298,298,496,226,3215,417
5,2002,378,412,412,499,641,6458,378
6,2003,416,485,485,499,654,9641,412
7,2004,514,216,521,425,664,9354,514
8,2005,545,226,226,458,645,6648,539
9,2006,689,425,842,499,641,3301,479
10,2007,521,451,785,452,542,3321,421
11,2008,475,425,742,412,664,3301,478
12,2009,549,334,733,444,523,2985,548
13,2010,583,456,745,456,426,4125,586
14,2011,529,423,712,423,333,4856,526
15,2012,569,423,423,485,599,5216,456
16,2013,654,542,542,475,641,2264,524
17,2014,542,412,412,443,524,8425,542
18,2015,521,521,521,412,684,7851,513
19,2016,536,485,648,439,524,7425,538
20,2017,635,441,624,456,522,7334,514
21,2018,521,498,599,499,513,7456,525
22,2019,596,344,523,501,456,5998,576
23,2020,563,268,426,522,598,5234,546
24,2021,596,333,333,536,486,4268,523
25,2022,566,548,396,510,516,3332,526
