S.No,Year,Agriculture Land,Forest Land,Water Bodies,Industries,Protected & National Parks ,Infrastructures,Waste Land
1,1998,586,330,421,215,435,415,552
2,1999,526,332,445,153,426,484,502
3,2000,511,330,425,166,412,521,468
4,2001,417,298,541,196,521,226,496
5,2002,378,412,632,241,648,641,499
6,2003,412,485,551,222,621,654,499
7,2004,514,216,645,246,598,664,425
8,2005,539,226,544,258,523,645,458
9,2006,479,425,526,269,426,641,499
10,2007,421,451,687,321,333,542,452
11,2008,478,425,612,324,664,664,412
12,2009,548,334,512,365,521,523,444
13,2010,586,456,524,375,536,426,456
14,2011,526,423,674,344,654,333,423
15,2012,456,423,741,321,445,599,485
16,2013,524,542,615,330,578,641,475
17,2014,542,412,542,345,456,524,443
18,2015,513,521,456,420,536,684,412
19,2016,538,485,547,496,521,524,439
20,2017,514,441,612,476,521,522,456
21,2018,525,498,454,485,628,513,499
22,2019,576,344,455,432,632,456,501
23,2020,546,268,656,462,696,598,522
24,2021,523,333,657,412,695,486,536
25,2022,542,548,658,410,652,516,510
