S.No,Year,Agriculture Land,Forest Land,Water Bodies,Industries,Protected & National Parks ,Infrastructures,Waste Land
1,1998,47475,5867,368,26890,9764,5241,356
2,1999,32834,6567,356,66788,2568,6842,764
3,2000,27983,3568,765,86656,8643,1124,864
4,2001,87273,9875,498,85314,4980,3215,986
5,2002,88472,2568,186,87654,8565,6458,154
6,2003,37365,9886,447,46785,7099,9641,753
7,2004,69651,4679,657,75433,3558,9354,378
8,2005,92562,2587,559,58877,8775,6648,754
9,2006,96365,9876,280,8755,5476,3301,367
10,2007,85635,4579,954,25668,8765,3321,874
11,2008,53829,2578,962,46898,4358,3301,656
12,2009,84793,8465,357,73257,9755,2985,677
13,2010,21648,2478,854,75535,3679,4125,367
14,2011,24272,8856,532,64323,7533,4856,480
15,2012,85735,5654,236,86432,7643,5216,366
16,2013,15647,6433,543,24575,2576,2264,876
17,2014,92836,1254,765,37895,9886,8425,864
18,2015,85863,8643,843,35879,2456,7851,368
19,2016,51474,3699,147,96546,9766,7425,367
20,2017,98626,5567,975,97654,1256,7334,865
21,2018,13627,9984,368,35688,9865,7456,367
22,2019,93475,4576,773,36780,2568,5998,864
23,2020,15743,2599,589,25698,5980,5234,436
24,2021,98475,3578,656,15689,1376,4268,577
25,2022,51247,4678,764,15359,4790,3332,865
