S.No,Year,Agriculture Land,Forest Land,Water Bodies,Industries,Protected & National Parks ,Infrastructures,Waste Land
1,1998,2645,653,173,76138,91836,5241,827
2,1999,6539,769,837,17368,87183,6842,928
3,2000,4132,726,716,81738,18736,1124,918
4,2001,8273,816,937,15638,16387,3215,153
5,2002,6253,176,716,71387,81737,6458,918
6,2003,9183,893,937,81736,61573,9641,163
7,2004,9856,817,918,16378,92766,9354,918
8,2005,8634,871,716,51763,51738,6648,546
9,2006,8172,817,937,71389,98465,3301,146
10,2007,6490,612,716,71638,71638,3321,615
11,2008,1326,716,163,92738,93845,3301,162
12,2009,6138,827,983,61538,15425,2985,937
13,2010,1568,876,984,12877,61523,4125,165
14,2011,9845,639,984,18379,41268,4856,763
15,2012,8276,817,273,17394,47183,5216,612
16,2013,8273,816,938,18377,17268,2264,863
17,2014,8636,873,630,18476,26358,8425,166
18,2015,6153,156,653,18730,51628,7851,837
19,2016,7128,972,875,92847,27379,7425,713
20,2017,1552,163,713,98376,14389,7334,837
21,2018,1524,713,726,91783,18802,7456,899
22,2019,2563,137,974,71638,91737,5998,172
23,2020,5263,163,153,91839,63900,5234,728
24,2021,6163,638,173,13284,13625,4268,768
25,2022,4163,986,615,27399,28639,3332,764
