S.No,Year,Agriculture Land,Forest Land,Water Bodies,Industries,Protected & National Parks ,Infrastructures,Waste Land
1,1998,67789,9824,734,28739,8723,5241,264
2,1999,67358,9847,764,86325,8746,6842,875
3,2000,87932,7835,837,28743,8376,1124,873
4,2001,16258,9823,987,74676,8735,3215,837
5,2002,89435,9843,503,52631,2873,6458,742
6,2003,79283,8933,374,82764,2533,9641,843
7,2004,32792,7346,879,87456,8624,9354,873
8,2005,79824,9855,346,83746,8386,6648,892
9,2006,89302,7635,984,87346,4455,3301,143
10,2007,89734,7654,895,89567,8973,3321,763
11,2008,89443,9685,756,25634,8745,3301,287
12,2009,98032,3742,968,76543,9675,2985,874
13,2010,90564,9857,434,73856,9854,4125,873
14,2011,83453,8974,745,78566,6748,4856,874
15,2012,87392,8363,734,87463,8732,5216,236
16,2013,84879,4879,346,93763,7345,2264,832
17,2014,89343,8746,865,87602,9843,8425,373
18,2015,98046,8375,345,83570,3785,7851,847
19,2016,3893,8744,763,98373,8746,7425,874
20,2017,98230,4873,763,79356,8374,7334,833
21,2018,97430,9867,356,73462,8732,7456,398
22,2019,97492,3976,634,78456,5762,5998,673
23,2020,76324,9834,867,78543,8746,5234,796
24,2021,98374,8346,634,68734,7346,4268,684
25,2022,98703,8956,346,98553,8734,3332,756
