S.No,Year,Agriculture Land,Forest Land,Water Bodies,Industries,Protected & National Parks ,Infrastructures,Waste Land
1,1998,848,2739,94875,478,4679,5241,945
2,1999,828,7263,97834,837,7467,6842,103
3,2000,984,8363,63484,173,7238,1124,1834
4,2001,847,5634,14637,187,2774,3215,8475
5,2002,638,4323,15364,487,8473,6458,9118
6,2003,153,4142,63589,947,4687,9641,8471
7,2004,255,3132,15243,894,8347,9354,1937
8,2005,635,4236,82964,874,9485,6648,2042
9,2006,737,1542,15378,163,3688,3301,2480
10,2007,716,3254,97761,947,3435,3321,2746
11,2008,639,6153,61534,1273,9475,3301,3479
12,2009,364,5163,37661,387,8472,2985,4975
13,2010,634,7634,17378,945,2647,4125,5098
14,2011,484,1543,18634,297,4854,4856,1984
15,2012,836,7642,16378,137,8374,5216,8585
16,2013,625,7154,72164,857,1384,2264,8474
17,2014,215,1437,89899,138,1348,8425,2974
18,2015,624,7649,98865,3884,2847,7851,9374
19,2016,156,5360,91949,932,4958,7425,3749
20,2017,124,6281,71098,1367,4589,7334,2845
21,2018,432,5358,84072,183,8457,7456,9576
22,2019,425,1839,80073,947,2974,5998,9853
23,2020,123,9845,24004,183,2945,5234,8247
24,2021,296,1638,48399,847,4713,4268,2846
25,2022,541,9274,16839,298,1763,3332,8454
