S.No,Year,Agriculture Land,Forest Land,Water Bodies,Industries,Protected & National Parks ,Infrastructures,Waste Land
1,1998,87953,8724,873,28722,9308,5241,874
2,1999,79843,3987,837,84272,8734,6842,879
3,2000,49792,4874,334,93847,9254,1124,874
4,2001,73453,3874,985,59685,9827,3215,832
5,2002,89347,8745,256,89574,7632,6458,872
6,2003,95873,8734,746,48673,3873,9641,769
7,2004,87356,8346,764,96545,9387,9354,704
8,2005,98563,8756,364,45736,9857,6648,847
9,2006,39765,9865,875,87594,2664,3301,837
10,2007,58674,8945,623,95874,3475,3321,874
11,2008,87356,8745,985,97485,9736,3301,837
12,2009,89752,8374,634,37463,2897,2985,263
13,2010,98457,7344,732,78295,8723,4125,985
14,2011,87436,9384,378,87962,8974,4856,265
15,2012,90856,8975,743,34874,4873,5216,734
16,2013,83264,8753,336,98763,2879,2264,793
17,2014,83750,3875,374,98574,9875,8425,764
18,2015,87236,9834,354,87436,2875,7851,876
19,2016,47573,8753,598,98376,8725,7425,783
20,2017,97463,9873,876,87463,2874,7334,874
21,2018,45983,8734,746,83746,7286,7456,985
22,2019,98793,9733,958,83742,7984,5998,587
23,2020,74590,5879,856,98563,8745,5234,439
24,2021,78346,3794,387,47307,2483,4268,728
25,2022,87305,983,398,27944,9873,3332,489
