S.No,Year,Agriculture Land,Forest Land,Water Bodies,Industries,Protected & National Parks ,Infrastructures,Waste Land
1,1998,98757,268,845,4343,98247,5241,90347
2,1999,92873,178,957,5346,28753,6842,82713
3,2000,62499,288,749,6253,72564,1124,87343
4,2001,17368,928,478,4237,29874,3215,97147
5,2002,73648,173,387,6536,27468,6458,62389
6,2003,82645,748,958,4124,38746,9641,65715
7,2004,16354,599,374,1735,27676,9354,41257
8,2005,93841,856,298,1653,56794,6648,16426
9,2006,51749,698,958,1749,28465,3301,87231
10,2007,15345,794,288,7434,16479,3321,16257
11,2008,15364,387,595,6256,20384,3301,91724
12,2009,94789,284,975,1763,86175,2985,14326
13,2010,15435,984,589,3654,63254,4125,54267
14,2011,28388,738,640,7264,29834,4856,61526
15,2012,37676,488,947,2534,19374,5216,54137
16,2013,13763,384,487,4894,18938,2264,87234
17,2014,27647,289,527,3878,84700,8425,62378
18,2015,82647,947,524,1736,79670,7851,64136
19,2016,94776,273,423,2657,79876,7425,14324
20,2017,72465,347,534,4759,60576,7334,82713
21,2018,72890,495,324,5989,75605,7456,99763
22,2019,26348,485,413,4789,38574,5998,38746
23,2020,72378,294,523,3874,34578,5234,76213
24,2021,17364,394,413,2747,82454,4268,93844
25,2022,28475,835,432,2746,98345,3332,81747
