S.No,Year,Agriculture Land,Forest Land,Water Bodies,Industries,Protected & National Parks ,Infrastructures,Waste Land
1,1998,8747,98845,923,973,933,5241,8735
2,1999,1653,65490,928,928,298,6842,7632
3,2000,7823,27368,812,827,198,1124,8263
4,2001,5237,76230,172,615,198,3215,1622
5,2002,9862,92485,823,523,181,6458,5243
6,2003,7623,19284,873,712,165,9641,3545
7,2004,2436,92487,934,542,514,9354,6234
8,2005,5674,98366,265,912,143,6648,2763
9,2006,5638,54328,736,109,615,3301,6354
10,2007,9837,82735,923,198,276,3321,6253
11,2008,8758,34523,653,192,918,3301,8749
12,2009,6849,54235,514,712,413,2985,9586
13,2010,6348,65239,923,182,542,4125,2653
14,2011,9823,28739,542,827,524,4856,6098
15,2012,7153,91029,615,837,562,5216,4952
16,2013,5237,82731,563,469,432,2264,8347
17,2014,3236,92833,162,387,367,8425,4238
18,2015,4312,28493,165,187,268,7851,3048
19,2016,5423,64790,543,383,735,7425,2439
20,2017,3127,58120,712,479,413,7334,2746
21,2018,4243,28349,102,736,273,7456,1542
22,2019,1563,49882,513,981,265,5998,8731
23,2020,4238,49814,412,387,152,5234,7236
24,2021,5243,42981,162,283,126,4268,5139
25,2022,5423,38230,816,128,265,3332,7548
