Year/State/Union Territory,Reporting area for land utilisation statistics, Forests  , Not available for cultivation, Permanent pastures & other grazing lands,Land under misc. tree crops & groves, Culturable waste,Fallow lands other than current fallows,  Current fallows, Net area sown , Total cropped area, Area sown more than once
 2009-10 ,305611,70042,42954,10149,3351,12857,10484,15753,140022,192197,52175
 Andhra Pradesh,27505,6210,4808,566,295,647,1627,3361,9991,12560,2569
 Arunachal Pradesh ,5660,5154,64,18,38,64,70,40,212,276,64
 Assam *,7850,1853,2626,160,196,77,50,79,2811,4099,1289
 Bihar *,9360,622,2121,16,244,45,122,858,5332,7491,2159
Chhattisgarh,13790,6349,1012,859,1,351,262,272,4683,5561,878
 Goa,361,125,37,1,1,53,NA,12,132,160,29
 Gujarat *,18810,1913,3528,690,4,1976,16,379,10302,11138,836
 Haryana,4371,40,574,28,12,29,5,133,3550,6351,2801
 Himachal Pradesh *,4550,1103,1123,1500,68,136,18,60,542,932,390
 Jammu & Kashmir,1757,2023,580,120,63,149,26,84,735,1145,409
 Jharkhand ,7970,2239,1332,110,93,336,1045,1564,1250,1399,149
 Karnataka,19050,3072,2174,914,288,413,484,1301,10404,12873,2469
 Kerala,3886,1082,501,NA,4,98,45,77,2079,2669,590
 Madhya Pradesh,30756,8689,3432,1338,24,1147,608,547,14972,21411,6440
 Maharashtra *,30758,5215,3172,1242,250,917,1189,1373,17401,22612,5211
 Manipur *,2010,1742,27,1,6,1,NA,NA,233,233,NA
 Meghalaya,2229,946,231,NA,162,394,155,58,283,336,53
 Mizoram ,2101,1585,95,5,39,7,181,66,123,123,NA
 Nagaland,1621,861,89,NA,107,43,101,59,361,486,126
 Orissa,15571,5813,2138,494,342,375,229,606,5574,9107,3533
 Punjab ,5033,295,528,4,5,3,4,37,4158,7875,3717
 Rajasthan,34270,2735,4268,1697,17,4475,2048,2055,16974,21745,4770
 Sikkim *,693,584,11,NA,8,3,4,5,77,144,67
 Tamil Nadu,13033,2127,2666,110,253,326,1542,1117,4892,5572,680
 Tripura *,1049,606,134,NA,27,1,1,1,280,309,29
 Uttarakhand ,5672,3485,441,198,383,309,80,34,741,1166,425
 Uttar Pradesh ,24170,1662,3295,65,360,431,537,1232,16589,24764,8175
 West Bengal,8684,1174,1820,6,55,31,20,323,5256,9530,4274
 A. & N. Islands *,757,717,9,4,4,3,3,3,15,17,2
 Chandigarh *,6,NA,5,NA,NA,NA,NA,NA,1,2,1
 D. & N. Haveli*,49,20,4,1,NA,NA,2,2,20,24,4
 Daman & Diu *,4,NA,NA,NA,NA,NA,NA,NA,4,4,NA
 Delhi ,147,1,93,NA,1,10,8,12,22,46,23
 Lakshadweep*,3,NA,NA,NA,NA,NA,NA,NA,3,3,NA
 Puducherry,49,NA,19,NA,1,4,3,3,19,32,13
,,,,,,,,,,,
1,,,,,,,,,,,
